1,one
crpt,carpet
crpt-g,carpeting
crtfct,certificate
crtnl,certainly
crtus,courteous
cS,cash
cst,cost
cty,city
ctzn,citizen
cul,cool
Cus,choose
cv,cover
cv-g,covering
cvc,civic
d,do
d|,death
da,day
dal,daily
dat,date
dcid,decide
dclin,decline
dcres,decrease
dcS,decision
dcum,document
dd,did
ddcaS,dedication
ddct,deduct
ddlin,deadline
del,deal
dept,department
dfclt,difficult
dfrnc,difference
dla,delay
dlit,delight
dlitf,delightful
dlSus,delicious
dlvr,deliver
dn,done
dnr,dinner
don't,don't
down,down
downtown,downtown
dplet,deplete
dpst,deposit
dra,draw
dra-g,drawing
drct,direct
drft,draft
drp,drop
ds,does
dscount,discount
dscrib,describe
dscS,discussion
dscv,discover
dsin,design
dstroy,destroy
dtal,detail
dtr,daughter
dtrmn,determine
du,due
dur-g,during
dutes,duties
dv,develop
dvdnd,dividend
dvote,devote
dvS,division
e,we
eC,each
ecnmcs,economics
edtd,edited
efctv,effective
efSt,efficient
efStl,efficiently
eft,effort
emrgncy,emergency
enab,enable
enc,enclose
encd,enclosed
end,end
enf,enough
err,error
ese,easy
eser,easier
esl,easily
espSll,especially
estat,estate
estblSm,establishment
estrn,eastern
esy,easy
ev,ever
ev,every
ev|ng,everything
evda,everyday
evon,everyone
evwr,everywhere
exec,executive
f,of
f,for
f|r,further
f|rm,furthermore
favrb,favorable
fcs,forces
fcst,forecast
fct,fact
fe,fee
feld,field
fgtn,forgotten
fgur,figure
fil,file
fin,fine
find,find
finl,final
fl,fill
fl,full
fl,fall
fld,filled
flo,follow
flor,floor
fm,from
fm,form
fml,formal
fml,family
fml,formal
fmn,foreman
fmost,foremost
fmr,former
fmt,format
fn,fun
fnds,funds
fnnc,finance
fnnSl,financial
fnS,finish
fnS,furnish
fnS-g,furnishing
fntr,furniture
focus,focus
found,found
fr,fair
frcS,fraction
fre,free
frml,firmly
frnd,friend
frst,first
fS,fashion
fscl,physical
fscl,fiscal
fsen,forseen
fu,few
futr,future
fwrd,forward
g|r,gather
gan,gain
gav,gave
gd,good
gdl,goodwill
gft,gift
gld,glad
gn,gone
gnrl,general
gnrus,generous
go,go
gol,goal
grad,grade
grat,great
grnt,grant
groundwk,groundwork
grup,group
gt,get
gt-g,getting
gv,give
gvn,given
h,has
h,have
h,hundred
hd,head
hd-gs,headings
he,he
hi,high
hil,highly
hilit,highlight
hir,hire
hir,higher
hist,highest
hl,hill
hl|,health
hlda,holiday
hlp,help
hlpf,helpful
hm,him
hndl,handle
hom,home
hop,hope
hotl,hotel
hous,house
hpn,happen
hpy,happy
hr,hour
hrd,heard
hrd,hard
hrl,hourly
hstry,history
hu,who
hum,whom
hvy,heavy
hw,how
hwev,however
idea,idea
if,if
il,ill
imp,importance
imp,important
imSrbl,immeasurably
inactv,inactive
inC,inch
incl,include
info,information
ins,insurance
inSl,inital
int,interest
int-g,interesting
intd,interested
iSu,issue
itm,item
itm,item
jb,job
jgm,judgement
join,join
jrnl,journal
jst,just
jt,jot
kpt,kept
l,will
la,law
labr,labor
lat,late
latr,later
latst,latest
lby,lobby
lctr,lecture
le,let
lest,least
lev,leave
lft,left
lgc,logic
librry,library
lif,life
lik,like
likl,likely
liklhd,likelihood
lit,light
lk,look
lmt,limit
lng,long
lo,low
locaS,location
locat,locate
locl,local
locl-t,locality
lon,loan
lor,lower
loyl,loyal
lr,letter
lrg,large
lrgst,largest
lrn,learn
lrs,letters
ls,less
lsn,listen
lst,list
lvl,level
m,more
m,million
ma,may
mad,made
majr,major
mak,make
mal,mail
man,main
mar,mayor
mbr,member
mbrSp,membership
mC,much
mdl,model
met,meet
mfsiz,emphasize
mgr,manager
mgt,management
mind,mind
mit,might
ml,mall
mn,men
mnt,minute
mnul,manual
mny,money
mny,many
mo,month
mol,monthly
mom,moment
most,most
mpl,employ
mple,employee
mples,employees
mplm,employment
mplr,employer
mport,import
mprprl,improperly
mprsv,impressive
mpruv,improve
mpsb,impossible
mrb,memorable
mrgns,margins
mrgr,merger
mrn-g,morning
mrprnt,imprint
mrt,merit
ms,miss
mSen,machine
mst,must
mteral,material
mtr,matter
muncp,municipal
muv,move
my,my
n,and
n,in
N,enter
N-g,entering
n|ng,nothing
nam,name
nclin,incline
ncm,income
ncmps,encompass
ncrctl,incorrectly
ncres,increase
ncrg,encourage
ncrgm,encouragement
ncs-t,neccessity
ncsry,necessary
Nd,entered
nded,indeed
Ndeptl,interdepartmental
ndstre,industry
ndvdul,individual
nedd,needed
neds,needs
ner,near
nerl,nearly
Nfer,interfere
Nfernc,interference
nfml,informal
nhnc,enhance
nic,nice
njoy,enjoy
njoyb,enjoyable
NnSl,international
no,number
no,know
nois,noise
not,note
now,now
Npris,enterprise
npt,input
nqiry,inquiry
nr,nor
nrml,normal
nrol,enroll
nrolm,enrollment
NrpS,interruption
Nrpt,interrupt
NscS,intersection
nSl,national
nSr,ensure
nstd,instead
nstrctr,instructor
nt,not
Ntanm,entertainment
ntgr-t,integrity
ntir,entire
ntitl,entitle
ntrdcS,introduction
ntrl,natural
ntrll,natrurally
ntry,entry
nu,new
nul,newly
numrus,numerous
nun,noon
nus,news
nvirnml,envioronmental
nvit,invite
nvlop,envelope
nvlub,invaluable
nvlv,involve
nvst,invest
nvstm,investment
nvtaS,invitation
Nvu,interview
nxt,next
ny,any
nytm,anytime
nywa,anyway
o,of
O,over
o|r,other
obtan,obtain
obvus,obvious
obvusl,obviously
ocaS,occasion
ocaSll,occasionally
ocr,occur
od,order
od,owed
odd,ordered
odl,orderly
ofc,office
ofn,often
ofr,offer
ofSl,official
oil,oil
old,old
Olk,overlook
Omfsizd,overemphasized
omt,omit
on,on
on,own
onl,only
onr,honor
onr,owner
opn,open
opn-g,opening
opS,option
org,organize
orgnl,original
orgnll,originally
orl,oral
Osit,oversight
ot,out
ot,ought
otlin,outline
Otm,overtime
otstnd-g,outstanding
pa,pay
pab,payable
pag,page
papr,paper
pblc,public
pblc-t,publicity
pblcaS,publication
pblSr,publisher
pctr,picture
pd,paid
pep,people
perod,period
pgm,program
pgmr,programmer
pl,please
plac,place
plan,plane
plces,policies
plcy,policy
pld,pleased
pln,plan
pln-g,planning
plSr,pleasure
point,point
porS,portion
portfolo,portfolio
postpon,postpone
powr,power
pr,present
praS,presentation
prbbl,probably
prblm,problem
prcedr,procedure
prcs,process
prCs,purchase
prctc,practice
prctcl,practical
prdcS,production
prdcS,prediction
prdct,predict
prfr,prefer
prfS,profession
prfSl,professional
prfsr,professor
prfSt,proficient
prgrfs,paragraphs
prgrs,progress
prhps,perhaps
prjct,project
prl,presently
prlmnry,preliminary
prmum,premium
prncp,principle
proud,proud
prposl,proposal
prpr,prepare
prpraS,preperation
prprl,properly
prprl,proper
prps,purpose
prsn,person
prsnl,personal
prt,part
prtculr,particular
prts,parts
prvS,provision
prvus,previous
prvusl,previously
ps,pass
psb,possible
psS,position
pst,past
pvd,provide
q,question
qit,quite
qit,quite
qk,quick
qkl,quickly
ql-t,quality
qlfid,qualified
qnt-t,quantity
qrtrl,quarterly
qrtrl,quarter
r,are
r,or
r,our
racS,reaction
rapointd,reappointed
rat,rate
rcl,recall
rcmnd,recommend
rcmndaSs,recommendations
rcnt,recent
rcntl,recently
rcpS,reception
rcrd,record
rcvd,recovered
rcvy,recovery
rdcS,reduction
rec,receive
reC,reach
recd,received
red,read
refrnc,reference
reltvl,relatively
rep,representative
rep,represent
rfnd,refund
rfrnc,reference
rgd,regard
rgn,region
rgulr,regular
rit,write
rit,right
rit-g,writing
rlaS,relation
rlaSSp,relationship
rlat,relate
rlatd,related
rles,release
rlib,reliable
rlib-t,reliability
rlvnt,relevant
rman,remain
rmandr,remainder
rmbr,remember
rng,wrong
rot,wrote
rpt,report
rqr,require
rqrm,requirement
rqst,request
rS,rush
rs,ours
rsal,resale
rsdnt,resident
rsn,reason
rsnb,reasonable
rsp,responsible
rsp-t,responsibility
rspnd,respond
rsrC,research
rsrvaS,reservation
rst,rest
rtan,retain
rtir,retire
rtirm,retirement
rtn,written
rtnS,retention
rtrn,return
rul,rule
rum,room
rvis,revise
rvS,revision
rvu,review
s,is
s,as
sa,say
sal,sale
sav-g,saving
sav-gs,savings
sbhd-g,sub-heading
sbjct,subject
sbrbn,suburban
sbscribr,subscriber
sC,such
scal,scale
sccs,success
sccsf,successful
scdul,schedule
scnd,second
scul,school
scur-t,security
Sd,should
Se,she
se,see
sen,seen
serus,serious
Set,sheet
sfSt,sufficient
sg,suggest
sin,sign
sit,site
siz,size
sizb,sizeable
skl,skill
slcS,selection
slct,select
sldm,seldom
slol,slowly
sm,some
sml,small
smp,sample
smr,summer
smry,summary
smtm,sometime
sn,soon
sncer,sincere
snd,send
snpss,synopsis
sntnc,sentence
so,so
Son,shown
sorc,source
Sp,shop
Sp,ship
Sp-g,shopping
spac,space
spaSus,spacious
spcfc,specific
speC,speech
spekr,speaker
spli,supply
Spm,shipment
spnS,spanish
sport,support
sprng,spring
sprt,separate
spSl,special
sqr,square
Sr,sure
srnam,surname
Srt,short
srva,survey
srvc,service
sry,sorry
sstm,system
sstmtc,systematic
st,state
st,street
st,set
status,status
std,stated
stdl,steadily
stdy,study
stf,staff
stlm,settlement
stm,statement
stnd,stand
stor,store
stp,stop
strct,strict
strctr,structure
strng,strong
strng|,strength
strt,start
stsfi,satisfy
stsfyd,satisfied
studnt,student
styl,style
svrl,several
t,it
t,top
t,at
t,thousand
tab,table
TacS,transaction
takn,taken
tap,tape
tcncl,technical
Tcrib,transcribe
Tcrpt,transcript
tda,today
teC,teach
teCr,teacher
Tfr,transfer
tir,tire
titl,title
tk,thank
tk,talk
tkt,ticket
tl,tell
TlaS,translation
tlfon,telephone
tm,time
Tmt,transmit
tnttv,tentative
tol,toll
totl,total
totll,totally
towr,tower
tp,top
tpc,topic
TprtaS,transportation
tran,train
trane,trainee
trb,trouble
trm,term
trmnl,terminal
trvl,travel
try,try
TSl,transitional
tx,tax
txs,taxes
txtbk,textbook
typ,type
typ-g,typing
typd,typed
typst,typist
u,you
u,your
U,under
uab,unable
uftnt,unfortunate
uftntl,unfortunately
uimp,unimportant
Uli,underlie
Ulin,underline
uobtanb,unobtainable
up,up
updat,update
uqbl,unquestionably
us,us
us,use
usf,useful
uslf,yourself
Ustnd,understand
usull,usually
Utak,undertake
utl,until
utl-t,utility
v,very
vacaS,vacation
vcn-t,vicinity
vdeo,video
vitl,vital
vlu,value
vlub,valuable
vlum,volume
voic,voice
vot,vote
vranc,variance
vrus,various
vst,visit
w,with
w,was
w,were
w,with
wa,way
wat,wait
wd,would
wil,while
wk,work
wk,week
wkda,weekday
wkr,worker
wkSp,workshop
wl,well
wn,within
wn,when
wndr,wander
wot,without
wr,where
wr|,worth
wrd,word
wrhous,warehouse
wS,wish
wstrn,western
wt,what
wtr,water
wy,why
xcit,excite
xclnt,excellent
xclusv,exclusive
xcpS,exception
xct,exact
xctl,exactly
xm,exam
xmn,examine
xmnas,examination
xmp,example
xpct,expect
xpir,expire
xplan,explain
xplanaS,explanation
xpnd,expand
xpndd,expanded
xprs,express
xrcis,exercise
xtra,extra
xtreml,extremely
xtreml,extreme
yr,year
yt,yet
zon,zone
