able,jc
walk,hx
walked,kd
walking,ya
want,wa
wanted,gc
was,w
water,ij
week,ek
well,wl
went,wn
were,p
what,z
whatever,wv
when,x
where,wh
whether,hh
which,g
while,hl
white,fz
whole,ol
whom,wm
whose,os
wife,wf
will,wi
wind,uq
window,ww
wish,ih
wished,px
with,b
within,ii
without,wt
woman,wo
women,jq
won't,kb
wonder,jt
word,wr
words,ws
work,wk
world,wd
worse,nq
worth,vk
would,q
write,xw
wrong,wg
year,yr
years,ye
you,y
young,yg
your,yo
yourself,yf
aa,against
ab,about
ac,account
ad,asked
ae,manner
af,after
ag,again
ai,making
aj,seen
ak,taken
al,always
ao,almost
ap,appeared
ar,another
au,daughter
av,leave
aw,away
ay,anything
az,half
b,with
ba,back
bb,among
bc,because
bd,behind
bf,before
bg,being
bh,brother
bi,business
bj,less
bk,black
bl,believe
bm,became
bn,been
bo,both
bp,master
bq,mean
br,better
bs,best
bt,between
bu,brought
bv,above
bx,matter
bz,used
c,said
ca,came
cb,sort
cc,character
cd,called
ce,come
cf,comfort
cg,coming
ch,child
ci,children
cj,care
cl,call
cm-company
cn,certain
co,could
cp,chapter
cr,cried
cs,close
ct,cannot
cu,course
cv,conversation
cw,short
cx,others
cy,country
cz,it's
d,had
da,days
db,that's
dc,doctor
dd,added
de,dear
dg,doing
dh,death
di,different
dj,read
dk,dark
dl,deal
dn,down
dp,deep
dq,already
dr,door
ds,does
dt,don't
du,doubt
dw,drew
dx,either
dy,ready
dz,means
e,her
ea,began
eb,everybody
ec,each
ed,heard
ee,three
ef,herself
eh,enough
ei,evening
ej,talk
ek,week
el,else
em,seems
en,even
eo,second
ep,help
eq,hard
er,hear
es,eyes
et,letter
eu,creature
ev,ever
ew,afterwards
ex,except
ey,every
ez,turn
f,for
fa,face
fb,thus
fc,fact
fd,friend
fe,felt
ff,effect
fg,feeling
fh,further
fi,first
fj,along
fl,feel
fm,form
fn,find
fo,found
fp,glad
fq,sense
fr,father
fs,friends
ft,often
fu,full
fv,five
fw,fellow
fy,family
fz,white
g,which
ga,gave
gb,can't
gc,wanted
gd,good
ge,gone
gf,mine
gg,going
gh,high
gi,give
gj,fell
gk,bear
gl,girl
gm,gentlemen
gn,gentleman
gp,fear
gq,state
gr,great
gs,thoughts
gt,sight
gu,ground
gv,given
gw,grew
gx,also
gy,angry
gz,fine
h,that
ha,hand
hb,husband
hc,church
hd,head
hf,himself
hg,having
hh,whether
hj,case
hk,thinking
hl,while
hn,thing
ho,house
hp,hope
hq,held
hr,here
hs,those
ht,heart
hu,hour
hv,heavy
hw,however
hx,walk
hy,happy
hz,lost
i,his
ia,idea
ic,silence
id,indeed
ig,things
ih,wish
ii,within
ij,water
ik,likely
il,till
im,times
io,into
ip,impossible
iq,hold
ir,fire
iu,minutes
iv,live
iw,afraid
ix,bring
iy,immediately
iz,honour
j,this
ja,seeing
jb,dead
jc,able
jd,arms
jf,late
jg,opinion
jh,four
ji,none
jj,hair
jk,sister
jl,entered
jm,sent
jn,married
jp,longer
jq,women
jr,hours
js,horse
jt,wonder
ju,just
jv,cold
jw,please
jx,fair
jy,lord
jz,stay
k,they
ka,interest
kb,won't
kd,walked
ke,keep
kg,taking
kh,opened
ki,kind
kj,change
kk,laid
kl,knowledge
km,strange
kn,know
ko,known
kq,feet
kr,tears
ks,knows
kt,kept
ku,body
kv,past
kw,knew
kx,order
ky,need
kz,pleased
l,all
la,last
lb,dinner
ld,looked
le,like
lf,life
lg,looking
lh,light
li,little
lj,happened
lk,look
ll,I'll
lm,sitting
ln,alone
lo,long
lp,lips
lq,getting
lr,large
ls,least
lt,left
lu,laughed
lv,love
lw,followed
lx,there's
ly,lady
lz,besides
m,him
ma,made
mc,soul
md,mind
mf,myself
mg,morning
mh,mother
mi,might
mj,early
mk,make
ml,smile
mm,moment
mn,many
mo,more
mq,rose
ms,most
mt,must
mu,much
mv,moved
mx,aunt
mz,hundred
n,and
na,name
nb,nobody
nc,necessary
nd,answered
ne,never
ng,nothing
nh,neither
ni,night
nj,across
nk,thank
nl,general
nm,handsome
nn,continued
np,carried
nq,worse
nr,near
ns,hands
nt,next
nu,nature
nw,answer
nx,chair
ny,money
nz,tone
o,not
oa,road
ob,observed
oc,once
od,stood
oe,done
og,together
oi,sometimes
oj,object
ol,whole
om,home
oo,took
op,open
oq,standing
os,whose
ot,other
ou,ought
ov,over
ow,town
ox,sorry
oy,only
oz,stand
p,were
pa,part
pb,probably
pc,appearance
pd,passed
pe,perhaps
pf,perfectly
pg,speaking
pi,possible
pj,meet
pl,place
pm,promise
pn,person
po,poor
pp,people
pq,instead
pr,present
ps,pleasure
pt,point
pu,purpose
pw,power
px,wished
py,pretty
pz,sound
q,would
qa,silent
qb,common
qc,meant
qd,tried
qe,until
qf,mouth
qg,occasion
qh,marry
qj,length
ql,story
qm,street
qn,question
qo,remained
qp,become
qq,loved
qs-seem
qt,quiet
qu,quite
qv,ladies
qw,marriage
qx,book
qz,I've
r,from
ra,rather
rb,trouble
rc,received
rd,round
rg,strong
rh,truth
ri,right
rj,obliged
rk,struck
rl,hardly
rm,remember
rn,reason
ro,room
rp,replied
rq,particular
rr,return
rs,rest
rt,returned
ru,true
rv,resolved
rw,forward
rx,pass
ry,really
rz,knowing
s-she
sa,same
sb,subject
sc,since
sd,seemed
se,some
sf,itself
sg,something
sh,should
si,side
sj,former
sk,spoke
sl,shall
sm,small
sn,soon
sp,speak
sq,blood
sr,sure
ss,miss
st,still
su,such
sv,several
sw,show
sx,sake
sy,says
sz,fortune
t,the
ta,take
tb,table
tc,distance
td,told
te,then
tf,therefore
tg,through
th,there
ti,time
tj,presence
tk,think
tl,tell
tm,them
tn,than
tp,stopped
tq,feelings
tr,their
ts,these
tt,thought
tu,though
tv,themselves
tw,towards
tx,corner
ty,certainly
tz,talking
u,but
ua,natural
uc-circumstnces
ud,turned
ue,suppose
uf,beautiful
ug,turning
ui,during
uj,spirit
uk,foot
ul,usual
un,upon
uo,supposed
uq,wind
ur,under
ut,understand
uv,presently
uw,comes
ux,attention
uy,suddenly
uz,wait
v,have
vb,play
vc,service
vd,lived
ve,very
vf,easy
vg,everything
vh,real
vi,living
vj,clear
vk,worth
vm,cause
vn,giving
vo,voice
vp,send
vq,spirits
vt,visit
vu,chance
vv,didn't
vw,view
vx,pleasant
vy,party
vz,beginning
w,was
wa,want
wb,horses
wd,world
wf,wife
wg,wrong
wh,where
wi,will
wj,notice
wk,work
wl,well
wm,whom
wn,went
wo,woman
wp,duty
wq,he's
wr,word
ws,words
wt,without
wv,whatever
ww,window
wx,figure
wy,twenty
wz,leaving
x,when
xa,sleep
xb,entirely
xc,exclaimed
xd,expected
xe,fall
xf,months
xg,broken
xh,secret
xi,thousand
xj,happiness
xk,minute
xl,human
xm,fancy
xo,strength
xp,showed
xq,pounds
xr,nearly
xs,captain
xt,expect
xu,piece
xv,school
xw,write
xx,reached
xy,exactly
xz,repeated
y,you
ya,walking
yb,father's
yc,heaven
yd,beyond
ye,years
yf,yourself
yg,young
yi,saying
yj,beauty
yk,shook
ym,waiting
yo,your
yp,desire
yq,news
yr,year
yt,front
yv,laugh
yw,uncle
yx,miles
yz,caught
z,what
za,regard
zb,easily
zc,glass
zd,consider
ze,green
zf,considered
zg,unless
zh,stop
zi,forth
zj,altogether
zk,surprise
zl,sudden
zm,free
zn,grave
zo,carriage
zp,believed
zq,putting
zr,carry
zs,mentioned
zt,looks
zu,scarcely
zv,society
zw,affection
zx,dress
zy,earth
